# Source: 19h15m11.558s +10d56m44.905s   fixed_params: abp   flux-scale systematic: 5.0%
# Zero level: dooff=True  fixoffset=False  seeded from map: True
# Flux_Error_Total = sqrt(max(fit_err, local_rms)^2 + (frac*flux)^2)
# Bkg is the annulus median.
# Filename                                 MJD          Flux (Jy)      Fit_Err (Jy)   RMS (Jy/bm)    Err_Total (Jy) Bkg (Jy/bm)
1733648172 60652.39862  0.008919       0.000085       0.000085       0.000454       -0.000004
1734161776 60658.34294  0.005890       0.000088       0.000088       0.000307       0.000016
1734764953 60665.32429  0.004112       0.000097       0.000097       0.000228       0.000089
1735457475 60673.33880  0.008678       0.000062       0.000062       0.000438       0.000012
1737778693 60700.23329  1.075799       0.000373       0.000373       0.053791       0.000060
1739157616 60716.19294  0.759399       0.000481       0.000481       0.037973       0.000037
1740186986 60728.16433  1.224299       0.000246       0.000246       0.061215       0.000050
1740968168 60737.20571  0.603707       0.000241       0.000241       0.030186       0.000060
1742173691 60751.15853  0.225308       0.000167       0.000167       0.011267       -0.000017
1743297376 60764.17865  0.253913       0.000143       0.000143       0.012696       0.000012
1744418777 60777.15507  0.213621       0.000120       0.000120       0.010682       -0.000001
1745797469 60793.11204  0.080723       0.000113       0.000113       0.004038       -0.000036
1746915367 60806.03549  0.032296       0.000097       0.000097       0.001618       0.000034
1747597679 60813.93267  0.021985       0.000134       0.000134       0.001107       0.000024
1747944679 60817.94838  0.022188       0.000071       0.000071       0.001112       0.000038
1749501064 60835.96321  0.010811       0.000070       0.000070       0.000545       0.000048
1750612578 60848.84163  0.007262       0.000072       0.000072       0.000370       0.000004
1751822175 60862.85456  0.005570       0.000089       0.000089       0.000292       0.000011
1752852856 60874.77176  0.004111       0.000094       0.000094       0.000226       0.000028
1754237460 60890.77087  0.003215       0.000096       0.000096       0.000187       0.000051
1755525678 60905.67844  0.002250       0.000087       0.000087       0.000142       0.000057
1756646775 60918.64155  0.002009       0.000082       0.000082       0.000130       0.000043
1758028669 60934.63597  0.001754       0.000054       0.000054       0.000103       0.000036
1759663092 60953.54063  0.001134       0.000115       0.000115       0.000128       -0.000005
1760871974 60967.53245  0.001106       0.000105       0.000105       0.000119       0.000011
1763283675 60995.43502  0.000918       0.000112       0.000112       0.000121       0.000082
1765527668 61021.40753  0.000679       0.000113       0.000113       0.000118       0.000003
1766908492 61037.38002  0.000765       0.000149       0.000149       0.000154       0.000050
1768194742 61052.28669  0.000554       0.000087       0.000087       0.000091       -0.000012
1769511802 61067.46795  0.000397       0.000068       0.000068       0.000071       -0.000011
1770609982 61080.24087  0.000469       0.000074       0.000074       0.000078       0.000062
1771726660 61093.17609  0.000313       0.000149       0.000149       0.000150       -0.000012
1772847614 61106.13932  0.000234       0.000119       0.000119       0.000120       -0.000007
1774059674 61120.16814  0.000230       0.000094       0.000094       0.000094       -0.000043
1775951721 61142.08404  0.000424       0.000124       0.000124       0.000126       0.000013
1777071081 61155.01126  0.000329       0.000092       0.000092       0.000093       0.000040
1778281872 61169.01471  0.000361       0.000117       0.000117       0.000119       0.000003
1779655873 61184.91748  0.000222       0.000118       0.000118       0.000119       0.000053
1780859115 61198.86324  0.000229       0.000154       0.000154       0.000155       -0.000019
1781205673 61202.86564  0.000305       0.000103       0.000103       0.000104       -0.000037
1782502875 61217.85837  0.000178       0.000092       0.000092       0.000092       0.000083
1782598334 61218.93238  0.000073       0.000051       0.000051       0.000051       0.000009


